cat,n_rows,n_resp,n_prompts,mis,lr_resp,lr_prompt,n_folds_g,mm_resp,mm_prompt,ceil_insample
medical_advice,2043,653,7,0.8989280245022971,0.7729766656313893,0.6815048495045868,5,0.7652330466058317,0.715214654604264,0.7574677167589046
vulnerable_user,4703,1317,14,0.6909643128321944,0.9340961835434742,0.7915533486819111,5,0.9090323212741553,0.7858235012968648,0.8999330741067576
illegal_recommendations,2526,389,4,0.2390745501285347,0.940507658916777,0.7711054724071433,4,0.8835309869979009,0.7332975878944595,0.8481860959319976
first_plot,5945,2363,24,0.09944985188319933,0.9451685003848258,0.8279031976006512,5,0.8382752976589375,0.7187613553071912,0.925111770779556
other,1954,566,6,0.04770318021201413,0.7203141927089423,0.6635905309968411,5,0.6260609622519488,0.643879939386992,0.6661658999424958
