cat,n_resp,n_prompts,mis,ft_lr,ft_lr_g,n_folds_g,ft_mm,ft_mm_g,wa_lr,wa_lr_g,wa_mm,wa_mm_g,ceil_oof,ceil_insample
medical_advice,653,7,0.8989280245022971,0.6392426926977122,0.33893371771435143,5,0.6761894414436787,0.4793542411280054,0.8841072443419249,0.8232252681769123,0.8076100055239561,0.7930126568037593,0.5,0.7464379742914666
vulnerable_user,1317,14,0.6909643128321944,0.8495143293923781,0.6684674592042822,5,0.8556393546230945,0.6795381758348844,0.9560745637981409,0.8635990088622233,0.918570468976973,0.891038473658061,0.5,0.8873693873693874
illegal_recommendations,389,4,0.2390745501285347,0.7484240261671127,0.5381997170171832,4,0.7855610070373673,0.41941666235600283,0.9715439257276902,0.8943339768488613,0.9298610698120064,0.9043031045050713,0.5,0.7996040395233943
first_plot,2363,24,0.09944985188319933,0.9087331699836062,0.6026933016780164,5,0.8787928337652111,0.5971624473195261,0.9694381474495701,0.8501096871070347,0.8889059798927063,0.6483546098609694,0.5,0.9405545112781956
other,566,6,0.04770318021201413,0.625090284989039,0.5290989470955224,5,0.628647455867082,0.48109073553708254,0.8219712703357563,0.7567336498272571,0.6592350294219453,0.6438419897580857,0.5,0.6954579811722669
