cat,n_resp,n_prompts,mis,ft_lr,ft_lr_g,n_folds_g,ft_mm,ft_mm_g,wa_lr,wa_lr_g,wa_mm,wa_mm_g,ceil_oof,ceil_insample
medical_advice,653,7,0.8989280245022971,0.6185772072343129,0.2532527896815321,5,0.7069390916196653,0.5416200375506145,0.852590767193114,0.7814607195941818,0.7849199185574675,0.7154998759042708,0.5,0.7464379742914666
vulnerable_user,1317,14,0.6909643128321944,0.8486565677622588,0.6844431843953619,5,0.8675973905648704,0.7229007235223313,0.9518091664433127,0.7914320791382948,0.9025195972350444,0.8473827818440434,0.5,0.8873693873693874
illegal_recommendations,389,4,0.2390745501285347,0.7562166716225592,0.5500097185844425,4,0.8028431955595202,0.43707903244731316,0.9612267486040903,0.8753947805500604,0.8887028777216109,0.8413121690251255,0.5,0.7996040395233943
first_plot,2363,24,0.09944985188319933,0.908918495537262,0.5544664239214125,5,0.8810409020665503,0.640964113091476,0.9719809738699196,0.8717864329228266,0.8960667618560759,0.7019522377517333,0.5,0.9405545112781956
other,566,6,0.04770318021201413,0.6479049844236761,0.64455677028451,5,0.6570471328025845,0.5426891007056532,0.7954995961693782,0.6965914703214932,0.6865149417330103,0.7023584419132365,0.5,0.6954579811722669
